Gene,GE,CNA,DM,MutSig(Q-value),# Mut,#Profiled Samples,Freq,Is Cancer Gene (source: OncoKB)
ATM,0.5770724603777109,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.2474392798296696,0.5530694205393001,,22,22,499,4.4%,Yes
ATM,0.4733404219150543,0.4603549540042877,,22,22,499,4.4%,Yes
ATM,0.2693860583151899,0.0051635111876076,,22,22,499,4.4%,Yes
ATM,0.5860637142916891,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.5728769302368164,0.2822993099689483,,22,22,499,4.4%,Yes
ATM,0.4686247110366821,0.519270658493042,,22,22,499,4.4%,Yes
ATM,0.6067282171914776,0.5593803786574871,,22,22,499,4.4%,Yes
ATM,0.4683373606157968,0.5576592082616179,,22,22,499,4.4%,Yes
ATM,0.4738189898745104,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.2854594886302948,0.3467147946357727,,22,22,499,4.4%,Yes
ATM,0.5580348607454617,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.1517282911772954,0.5565117613310384,,22,22,499,4.4%,Yes
ATM,0.6970119851743322,0.5519219736087206,,22,22,499,4.4%,Yes
ATM,0.7416293218786207,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.6629579722404202,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.4646112814319814,0.5570854847963281,,22,22,499,4.4%,Yes
ATM,0.4137806448343561,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.4694910972435253,0.5788869764773379,,22,22,499,4.4%,Yes
ATM,0.6053068651620026,0.5582329317269076,,22,22,499,4.4%,Yes
ATM,0.2708469927310943,0.3134289681911468,,22,22,499,4.4%,Yes
ATM,0.539748029660791,0.5565117613310384,,22,22,499,4.4%,Yes
ATM,0.4989120327743546,0.5484796328169822,,22,22,499,4.4%,Yes
ATM,0.7985233791072703,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.6023087442014212,0.5559380378657487,,22,22,499,4.4%,Yes
ATM,0.0914385462395179,0.5519219736087206,,22,22,499,4.4%,Yes
ATM,0.6118218302726746,0.673543393611908,,22,22,499,4.4%,Yes
ATM,0.3376156334562297,0.5605278255880666,,22,22,499,4.4%,Yes
ATM,0.5798591664837129,0.5611015490533563,,22,22,499,4.4%,Yes
ATM,0.6723459241081948,0.5720022948938611,,22,22,499,4.4%,Yes
ATM,0.4575013690099223,0.5020080321285141,,22,22,499,4.4%,Yes
ATM,0.6212147391827849,0.555364314400459,,22,22,499,4.4%,Yes
ATM,0.4638436479091461,0.1709695926563396,,22,22,499,4.4%,Yes
ATM,0.7416408014759348,0.5547905909351692,,22,22,499,4.4%,Yes
ATM,0.5550422652841873,0.5565117613310384,,22,22,499,4.4%,Yes
ATM,0.4872037564836744,0.5708548479632817,,22,22,499,4.4%,Yes
ATM,0.7230563759803772,0.5575423836708069,,22,22,499,4.4%,Yes
ATM,0.6741760801559895,0.5599541021227769,,22,22,499,4.4%,Yes
